comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
UgyaLhTQKFZB-8r_fYt4AaABAg,Zqzb7kE4dLI,main_comment,,@gamst6217,http://www.youtube.com/@gamst6217,개열받네 진짜.. 영상 좋아요 부탁드립니다!!!,964,2025-05-24T11:30:01Z,2025-05-24T11:30:01Z,16
UgyaLhTQKFZB-8r_fYt4AaABAg.AIViwA1YF7VAIVixhjARJJ,Zqzb7kE4dLI,reply,UgyaLhTQKFZB-8r_fYt4AaABAg,@Tutti..,http://www.youtube.com/@Tutti..,네,6,2025-05-24T11:30:14Z,2025-05-24T11:30:14Z,0
UgyaLhTQKFZB-8r_fYt4AaABAg.AIViwA1YF7VAIVizilJ0_q,Zqzb7kE4dLI,reply,UgyaLhTQKFZB-8r_fYt4AaABAg,@audi0928-KR,http://www.youtube.com/@audi0928-KR,형 사랑해❤,6,2025-05-24T11:30:31Z,2025-05-24T11:30:31Z,0
UgyaLhTQKFZB-8r_fYt4AaABAg.AIViwA1YF7VAIVj2BxQ7Si,Zqzb7kE4dLI,reply,UgyaLhTQKFZB-8r_fYt4AaABAg,@유일-81,http://www.youtube.com/@%EC%9C%A0%EC%9D%BC-81,그것은 매우 멋진😊,4,2025-05-24T11:31:00Z,2025-05-24T11:31:00Z,0
UgyaLhTQKFZB-8r_fYt4AaABAg.AIViwA1YF7VAIVmR9ANA17,Zqzb7kE4dLI,reply,UgyaLhTQKFZB-8r_fYt4AaABAg,@TV-kq3uc,http://www.youtube.com/@TV-kq3uc,캐미 좋아요 😀다른 유투버들이랑 다르네 완전 유니크 ㅋㅋㅋㅋ,2,2025-05-24T12:00:36Z,2025-05-24T12:00:36Z,0
UgyaLhTQKFZB-8r_fYt4AaABAg.AIViwA1YF7VAIVmxoIkUyd,Zqzb7kE4dLI,reply,UgyaLhTQKFZB-8r_fYt4AaABAg,@킹사이다-n7e,http://www.youtube.com/@%ED%82%B9%EC%82%AC%EC%9D%B4%EB%8B%A4-n7e,오빠 하앗,1,2025-05-24T12:05:12Z,2025-05-24T12:05:12Z,0
Ugx9rUuAZYbk90VNpyV4AaABAg,Zqzb7kE4dLI,main_comment,,@user-clx1mk0wk4,http://www.youtube.com/@user-clx1mk0wk4,무한어항맨 진짜 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,537,2025-05-24T11:41:17Z,2025-05-24T11:41:17Z,0
UgyIlKSOUoL-FuSORi14AaABAg,Zqzb7kE4dLI,main_comment,,@korea-ab1,http://www.youtube.com/@korea-ab1,와 근데 말빨 진짜 ㅈㄴ 좋다 ㅋㅋㅋㅋㅋㅋ,160,2025-05-24T13:13:41Z,2025-05-24T13:13:41Z,2
UgyIlKSOUoL-FuSORi14AaABAg.AIVunRy0gnTAJSW-N9qyao,Zqzb7kE4dLI,reply,UgyIlKSOUoL-FuSORi14AaABAg,@정치성향,http://www.youtube.com/@%EC%A0%95%EC%B9%98%EC%84%B1%ED%96%A5,글빨도 좋을까 ㅎㅎㅎㅎㅎㅎ,1,2025-06-17T02:01:56Z,2025-06-17T02:01:56Z,0
UgyIlKSOUoL-FuSORi14AaABAg.AIVunRy0gnTAL29S4wr6uE,Zqzb7kE4dLI,reply,UgyIlKSOUoL-FuSORi14AaABAg,@백수롸이언,http://www.youtube.com/@%EB%B0%B1%EC%88%98%EB%A1%B8%EC%9D%B4%EC%96%B8,ㄹㅇ ㅋㅋㅋ 한마디를 안져 ㅋㅋ,0,2025-07-26T13:27:25Z,2025-07-26T13:27:25Z,0
