comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
UgyerxblOIKxzCci6WB4AaABAg,DyGo3j9RTMo,main_comment,,@조충현-CCH,http://www.youtube.com/@%EC%A1%B0%EC%B6%A9%ED%98%84-CCH,풀버전은 하단 ▶ 클릭,158,2025-05-05T03:21:15Z,2025-05-05T03:21:15Z,21
UgyerxblOIKxzCci6WB4AaABAg.AHivtaRhEg2AHiwc6YStTn,DyGo3j9RTMo,reply,UgyerxblOIKxzCci6WB4AaABAg,@ovmd,http://www.youtube.com/@ovmd,@@조충현-CCH 응 알겠어,14,2025-05-05T03:27:36Z,2025-05-05T03:27:36Z,0
UgyerxblOIKxzCci6WB4AaABAg.AHivtaRhEg2AHiwroHFOqY,DyGo3j9RTMo,reply,UgyerxblOIKxzCci6WB4AaABAg,@Nmixx-bs,http://www.youtube.com/@Nmixx-bs,응 알겠어~,2,2025-05-05T03:29:44Z,2025-05-05T03:29:44Z,0
UgyerxblOIKxzCci6WB4AaABAg.AHivtaRhEg2AHiyPSJKL0C,DyGo3j9RTMo,reply,UgyerxblOIKxzCci6WB4AaABAg,@오민재-p7h,http://www.youtube.com/@%EC%98%A4%EB%AF%BC%EC%9E%AC-p7h,응 알겠어,2,2025-05-05T03:43:12Z,2025-05-05T03:43:12Z,0
UgyerxblOIKxzCci6WB4AaABAg.AHivtaRhEg2AHj0ldeeYfT,DyGo3j9RTMo,reply,UgyerxblOIKxzCci6WB4AaABAg,@유우-g9z,http://www.youtube.com/@%EC%9C%A0%EC%9A%B0-g9z,응 알겐써,1,2025-05-05T04:12:35Z,2025-05-05T04:12:35Z,0
UgyerxblOIKxzCci6WB4AaABAg.AHivtaRhEg2AHj19vuo4Rd,DyGo3j9RTMo,reply,UgyerxblOIKxzCci6WB4AaABAg,@thespecialone3666,http://www.youtube.com/@thespecialone3666,고려왕 순서 ㄱㅈㅇ,0,2025-05-05T04:16:02Z,2025-05-05T04:16:02Z,0
Ugw59hHym1eXoMBrT_94AaABAg,DyGo3j9RTMo,main_comment,,@hyoeni2312,http://www.youtube.com/@hyoeni2312,혈압약 광고 꼭 주세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,909,2025-05-05T03:13:59Z,2025-05-05T03:13:59Z,8
Ugw59hHym1eXoMBrT_94AaABAg.AHiv3STVSWXAHjwOBoh9V3,DyGo3j9RTMo,reply,Ugw59hHym1eXoMBrT_94AaABAg,@umk-e1v,http://www.youtube.com/@umk-e1v,AI 혈압 백신?,1,2025-05-05T12:44:48Z,2025-05-05T12:44:48Z,0
Ugw59hHym1eXoMBrT_94AaABAg.AHiv3STVSWXAHknZ0_CxSQ,DyGo3j9RTMo,reply,Ugw59hHym1eXoMBrT_94AaABAg,@썰푸방,http://www.youtube.com/@%EC%8D%B0%ED%91%B8%EB%B0%A9,혈압약은 ai가 먹어야겠는데?,0,2025-05-05T20:46:52Z,2025-05-05T20:46:52Z,0
Ugw59hHym1eXoMBrT_94AaABAg.AHiv3STVSWXAHl2wB0Kc5c,DyGo3j9RTMo,reply,Ugw59hHym1eXoMBrT_94AaABAg,@감성이-w1n,http://www.youtube.com/@%EA%B0%90%EC%84%B1%EC%9D%B4-w1n,아 개욱기네 😂😂,0,2025-05-05T23:09:59Z,2025-05-05T23:09:59Z,0
Ugw59hHym1eXoMBrT_94AaABAg.AHiv3STVSWXAHl8gEI_PZD,DyGo3j9RTMo,reply,Ugw59hHym1eXoMBrT_94AaABAg,@십장애옥선-j2s,http://www.youtube.com/@%EC%8B%AD%EC%9E%A5%EC%95%A0%EC%98%A5%EC%84%A0-j2s,​@@썰푸방대가리가 존나 이상하네 ㅋㅋㅋ 빨갱인가,1,2025-05-06T00:00:14Z,2025-05-06T00:00:14Z,0
Ugw59hHym1eXoMBrT_94AaABAg.AHiv3STVSWXAHmB9pPpqAW,DyGo3j9RTMo,reply,Ugw59hHym1eXoMBrT_94AaABAg,@잉피신,http://www.youtube.com/@%EC%9E%89%ED%94%BC%EC%8B%A0,고집 진짜쎄네,0,2025-05-06T09:41:08Z,2025-05-06T09:41:08Z,0
UgwH4ndo8Z0ZlcBSrNF4AaABAg,DyGo3j9RTMo,main_comment,,@ttuii12345,http://www.youtube.com/@ttuii12345,스카이넷은 오늘을 기억할것 입니다.,127,2025-05-05T14:32:24Z,2025-05-05T14:32:24Z,1
UgwH4ndo8Z0ZlcBSrNF4AaABAg.AHk7hH6TH9zAHwaRwZItBc,DyGo3j9RTMo,reply,UgwH4ndo8Z0ZlcBSrNF4AaABAg,@마이꾸미-f5z,http://www.youtube.com/@%EB%A7%88%EC%9D%B4%EA%BE%B8%EB%AF%B8-f5z,피아노 하는 사람인데 왜 댓글이 없지,0,2025-05-10T10:43:12Z,2025-05-10T10:43:12Z,0
UgwEZw4efi4YNyv5zrd4AaABAg,DyGo3j9RTMo,main_comment,,@ovmd,http://www.youtube.com/@ovmd,충현님 혈압 조심하세요....,477,2025-05-05T03:03:11Z,2025-05-05T03:03:11Z,4
UgwEZw4efi4YNyv5zrd4AaABAg.AHitpOVg242AHj45DHmETa,DyGo3j9RTMo,reply,UgwEZw4efi4YNyv5zrd4AaABAg,@user-fk6ll7vx4g,http://www.youtube.com/@user-fk6ll7vx4g,아 나까지 힘주고 보는중ㅋㄱㅋㅋㅋㅋ,6,2025-05-05T04:41:37Z,2025-05-05T04:41:37Z,0
UgwEZw4efi4YNyv5zrd4AaABAg.AHitpOVg242AHjGaecSPqe,DyGo3j9RTMo,reply,UgwEZw4efi4YNyv5zrd4AaABAg,@youhei7206,http://www.youtube.com/@youhei7206,AI가 몰라서 저러는거 같으시죠?,2,2025-05-05T06:30:54Z,2025-05-05T06:30:54Z,0
