comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
Ugy22Qapff6s-NU287x4AaABAg,__OwHjFkTuk,main_comment,,@조충현-CCH,http://www.youtube.com/@%EC%A1%B0%EC%B6%A9%ED%98%84-CCH,지금 혈압약찾는중이라 질문 못받는다,2278,2025-04-30T09:18:01Z,2025-04-30T09:18:01Z,39
Ugy22Qapff6s-NU287x4AaABAg.AHXgkH0jLLNAHXgu-ScvdZ,__OwHjFkTuk,reply,Ugy22Qapff6s-NU287x4AaABAg,@Kang_Ah_Ge,http://www.youtube.com/@Kang_Ah_Ge,뒷목집고 쓰러질 예정,21,2025-04-30T09:19:20Z,2025-04-30T09:19:20Z,0
Ugy22Qapff6s-NU287x4AaABAg.AHXgkH0jLLNAHXh9IbpUJM,__OwHjFkTuk,reply,Ugy22Qapff6s-NU287x4AaABAg,@보리스승,http://www.youtube.com/@%EB%B3%B4%EB%A6%AC%EC%8A%A4%EC%8A%B9,아직까지 끝말잇기중?,7,2025-04-30T09:21:34Z,2025-04-30T09:21:34Z,0
Ugy22Qapff6s-NU287x4AaABAg.AHXgkH0jLLNAHXli-vcFop,__OwHjFkTuk,reply,Ugy22Qapff6s-NU287x4AaABAg,@everylittlething4497,http://www.youtube.com/@everylittlething4497,보복할거 같아요 뭔가 무서워요,2,2025-04-30T10:01:24Z,2025-04-30T10:01:24Z,0
Ugy22Qapff6s-NU287x4AaABAg.AHXgkH0jLLNAHXvW1WqRPJ,__OwHjFkTuk,reply,Ugy22Qapff6s-NU287x4AaABAg,@화리스-u7q,http://www.youtube.com/@%ED%99%94%EB%A6%AC%EC%8A%A4-u7q,스카이넷이 이렇게 스트레스 받아서 인간들을 멸종시킬려한듯 ㅋㅋㅋㅋㅋ,5,2025-04-30T11:27:00Z,2025-04-30T11:27:00Z,0
Ugy22Qapff6s-NU287x4AaABAg.AHXgkH0jLLNAHZCGUpIERc,__OwHjFkTuk,reply,Ugy22Qapff6s-NU287x4AaABAg,@동글맨oi,http://www.youtube.com/@%EB%8F%99%EA%B8%80%EB%A7%A8oi,끝말잇기 하는데 상대방이 바로 리튬하면 제 혈압이 더 오를거 같은데용?,4,2025-04-30T23:21:24Z,2025-04-30T23:21:24Z,0
Ugxfp3E3u0CR1Rtywrt4AaABAg,__OwHjFkTuk,main_comment,,@Danzi_doit,http://www.youtube.com/@Danzi_doit,응 단어 내가 만들면 그만이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3294,2025-04-30T10:02:33Z,2025-04-30T10:02:33Z,9
Ugxfp3E3u0CR1Rtywrt4AaABAg.AHXlqXscQFnAHYf0zUYAeT,__OwHjFkTuk,reply,Ugxfp3E3u0CR1Rtywrt4AaABAg,@박기자-j2k,http://www.youtube.com/@%EB%B0%95%EA%B8%B0%EC%9E%90-j2k,남자분 인성 개빻앗네,0,2025-04-30T18:22:12Z,2025-04-30T18:22:12Z,0
Ugxfp3E3u0CR1Rtywrt4AaABAg.AHXlqXscQFnAHZbMV10DhS,__OwHjFkTuk,reply,Ugxfp3E3u0CR1Rtywrt4AaABAg,@김민준-j4p4p4p4p,http://www.youtube.com/@%EA%B9%80%EB%AF%BC%EC%A4%80-j4p4p4p4p,😂😂,3,2025-05-01T03:09:25Z,2025-05-01T03:09:25Z,0
Ugxfp3E3u0CR1Rtywrt4AaABAg.AHXlqXscQFnAHZo2ZAZIZ0,__OwHjFkTuk,reply,Ugxfp3E3u0CR1Rtywrt4AaABAg,@Chat-GPT-sos,http://www.youtube.com/@Chat-GPT-sos,네 알겠습니다,1,2025-05-01T05:00:17Z,2025-05-01T05:00:17Z,0
Ugxfp3E3u0CR1Rtywrt4AaABAg.AHXlqXscQFnAHbs_3CmIpc,__OwHjFkTuk,reply,Ugxfp3E3u0CR1Rtywrt4AaABAg,@i9뵬사람_냬챼녈_RU66p7,http://www.youtube.com/@i9%EB%B5%AC%EC%82%AC%EB%9E%8C_%EB%83%AC%EC%B1%BC%EB%85%88_RU66p7,마지막까지 견고하게 버텨내서 완벽했다ㅋㅋ,1,2025-05-02T09:37:32Z,2025-05-02T09:37:32Z,0
Ugxfp3E3u0CR1Rtywrt4AaABAg.AHXlqXscQFnAHc1XK5LgBz,__OwHjFkTuk,reply,Ugxfp3E3u0CR1Rtywrt4AaABAg,@김종표-r2e,http://www.youtube.com/@%EA%B9%80%EC%A2%85%ED%91%9C-r2e,튬블러는 뭐야 텀블러누ㅋㅋㅋ,5,2025-05-02T11:04:33Z,2025-05-02T11:04:33Z,0
Ugw4B62zMXLo7zF7skF4AaABAg,__OwHjFkTuk,main_comment,,@Demon-pk8wz,http://www.youtube.com/@Demon-pk8wz,튬블러 ㅋㅋㅋㅋㅋㅋㅋㅋ Ai가 검색하다가 본단어가 텀블러인듯 ㅋㅋㅋㅋㅋㅋ,44,2025-05-08T00:27:12Z,2025-05-08T00:27:12Z,0
UgwuiO35j7tjKtBjd1t4AaABAg,__OwHjFkTuk,main_comment,,@Bbbbb-b4l,http://www.youtube.com/@Bbbbb-b4l,미안해 하지말라고 하니까 아임쏘리ㅋㅋㅋㅋㅋㅋ 진짜 미치겠다ㅋㅋㅋㅋㅋ,398,2025-05-03T04:22:25Z,2025-05-03T04:22:25Z,4
UgwuiO35j7tjKtBjd1t4AaABAg.AHdtIsnjN5KAHyk5tHGJxc,__OwHjFkTuk,reply,UgwuiO35j7tjKtBjd1t4AaABAg,@박성준-f9e9x,http://www.youtube.com/@%EB%B0%95%EC%84%B1%EC%A4%80-f9e9x,마지막은 스미마셍ㅋㅋ,16,2025-05-11T06:46:03Z,2025-05-11T06:46:03Z,0
UgwuiO35j7tjKtBjd1t4AaABAg.AHdtIsnjN5KAHz2BtqExS0,__OwHjFkTuk,reply,UgwuiO35j7tjKtBjd1t4AaABAg,@hyun5709,http://www.youtube.com/@hyun5709,아스미마셍때문에 진짜 기절함 미쳤냐곸ㅋㅋㅋㅋㅋ,8,2025-05-11T09:32:54Z,2025-05-11T09:32:54Z,0
