comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count,primary_emotion,confidence,anger_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,neutral_score
Ugz-UbzmrTsxpon_7l94AaABAg,V5jVJGTNsP8,main_comment,,@초코호떡-c1u,http://www.youtube.com/@%EC%B4%88%EC%BD%94%ED%98%B8%EB%96%A1-c1u,&quot;영어 쓰면 니가 뭘 할 수 있는데&quot; ㅋㅋㅋ,5893,2024-02-07T08:12:15Z,2024-02-07T08:12:15Z,2,joy,0.85,0.01,0.01,0.01,0.85,0.01,0.01,0.1
Ugz-UbzmrTsxpon_7l94AaABAg.A-W05aFmeZbA-YRPCpEaTE,V5jVJGTNsP8,reply,Ugz-UbzmrTsxpon_7l94AaABAg,@저스틴비버-h8b,http://www.youtube.com/@%EC%A0%80%EC%8A%A4%ED%8B%B4%EB%B9%84%EB%B2%84-h8b,침소리 무력화 ㅋㅋㅋㅋㅋㅋㅋ,160,2024-02-08T06:49:20Z,2024-02-08T06:49:20Z,0,joy,0.9,0.01,0.01,0.01,0.9,0.01,0.01,0.05
Ugz-UbzmrTsxpon_7l94AaABAg.A-W05aFmeZbA-_KkX5-HMr,V5jVJGTNsP8,reply,Ugz-UbzmrTsxpon_7l94AaABAg,@뽀찌챙겨가,http://www.youtube.com/@%EB%BD%80%EC%B0%8C%EC%B1%99%EA%B2%A8%EA%B0%80,모어쌍부터 박았으면 ai 퇴치했다,92,2024-02-09T00:29:42Z,2024-02-09T00:29:42Z,0,neutral,0.7,0.05,0.05,0.05,0.05,0.05,0.05,0.7
UgyCo-8brc1wMR25oQl4AaABAg,V5jVJGTNsP8,main_comment,,@나그네-v5w,http://www.youtube.com/@%EB%82%98%EA%B7%B8%EB%84%A4-v5w,불리할때마다 영어로 기강잡네 ㅋㅋㅋㅋㅋ,1344,2024-02-07T10:49:28Z,2024-02-07T10:49:28Z,0,joy,0.85,0.01,0.01,0.01,0.85,0.01,0.01,0.1
UgyjIsnfnyE_uTgShup4AaABAg,V5jVJGTNsP8,main_comment,,@괭괭괭괭,http://www.youtube.com/@%EA%B4%AD%EA%B4%AD%EA%B4%AD%EA%B4%AD,"이게 칭찬ai, 비난ai 실험이구나",3247,2024-02-07T08:08:10Z,2024-02-07T08:08:10Z,1,neutral,0.65,0.05,0.05,0.05,0.05,0.05,0.05,0.65
UgyjIsnfnyE_uTgShup4AaABAg.A-W-ciGnqKlA-mCSh7M4wv,V5jVJGTNsP8,reply,UgyjIsnfnyE_uTgShup4AaABAg,@ddengque6324,http://www.youtube.com/@ddengque6324,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ,4,2024-02-14T00:27:21Z,2024-02-14T00:27:21Z,0,joy,0.95,0.01,0.01,0.01,0.95,0.01,0.01,0.01
UgyGJ9UzIV8d6qHEahF4AaABAg,V5jVJGTNsP8,main_comment,,@u3hhe662ljue,http://www.youtube.com/@u3hhe662ljue,불리하니까 바로 영어박아버리네ㅋㅋ,1768,2024-02-07T08:18:17Z,2024-02-07T08:18:17Z,0,joy,0.85,0.01,0.01,0.01,0.85,0.01,0.01,0.11
UgyKV-n01icYN2dnt4l4AaABAg,V5jVJGTNsP8,main_comment,,@sunjoo629,http://www.youtube.com/@sunjoo629,이랬던 챗지피티가 정확한 잉어빵배달비를 파악하고 조금업을 외치게 되었다.,4388,2024-02-07T08:04:11Z,2024-02-07T08:04:11Z,9,neutral,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.6
UgyKV-n01icYN2dnt4l4AaABAg.A-W-AVuLaiRA-W3FqH73Tf,V5jVJGTNsP8,reply,UgyKV-n01icYN2dnt4l4AaABAg,@Sm0ked_duck,http://www.youtube.com/@Sm0ked_duck,조금업ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,359,2024-02-07T08:39:52Z,2024-02-07T08:39:52Z,0,joy,0.9,0.01,0.01,0.01,0.9,0.01,0.01,0.05
UgyKV-n01icYN2dnt4l4AaABAg.A-W-AVuLaiRA-W8YBBHPYt,V5jVJGTNsP8,reply,UgyKV-n01icYN2dnt4l4AaABAg,@huh_mee,http://www.youtube.com/@huh_mee,진짜 발달하는 속도가 어마어마하다 ㅋㅋㅋ,190,2024-02-07T09:26:04Z,2024-02-07T09:26:04Z,0,joy,0.9,0.01,0.01,0.01,0.9,0.01,0.01,0.05
