comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
UgyTsOPEUX4uuKUS-DR4AaABAg,guYASPE1GiQ,main_comment,,@판댜_419,http://www.youtube.com/@%ED%8C%90%EB%8C%9C_419,답답해하는거 개웃기네 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,739,2024-08-08T09:10:41Z,2024-08-08T09:10:41Z,3
UgyTsOPEUX4uuKUS-DR4AaABAg.A6sKFhLm54_AJIAOoaAVLd,guYASPE1GiQ,reply,UgyTsOPEUX4uuKUS-DR4AaABAg,@정치성향,http://www.youtube.com/@%EC%A0%95%EC%B9%98%EC%84%B1%ED%96%A5,쿵푸판댜,2,2025-06-13T01:40:46Z,2025-06-13T01:40:46Z,0
UgyTsOPEUX4uuKUS-DR4AaABAg.A6sKFhLm54_ALYfc2DJ0iC,guYASPE1GiQ,reply,UgyTsOPEUX4uuKUS-DR4AaABAg,@봇아님그냥팬임,http://www.youtube.com/@%EB%B4%87%EC%95%84%EB%8B%98%EA%B7%B8%EB%83%A5%ED%8C%AC%EC%9E%84,​@@정치성향1찍임 2쩩임?,0,2025-08-08T04:32:58Z,2025-08-08T04:32:58Z,0
UgyTsOPEUX4uuKUS-DR4AaABAg.A6sKFhLm54_ALZgThjFMUk,guYASPE1GiQ,reply,UgyTsOPEUX4uuKUS-DR4AaABAg,@정치성향,http://www.youtube.com/@%EC%A0%95%EC%B9%98%EC%84%B1%ED%96%A5,@@봇아님그냥팬임둘다 아님?!,0,2025-08-08T13:59:40Z,2025-08-08T13:59:40Z,0
Ugym1-KzG0m_55-70dp4AaABAg,guYASPE1GiQ,main_comment,,@LIBY-m1w,http://www.youtube.com/@LIBY-m1w,쿠빈님 제타 광고에 얼굴 걸렸습니다ㅋㅋㅋㅋㅋ,383,2025-07-25T10:32:18Z,2025-08-24T11:11:30Z,34
Ugym1-KzG0m_55-70dp4AaABAg.AL-GbZcEHDLAL3zujpI6SG,guYASPE1GiQ,reply,Ugym1-KzG0m_55-70dp4AaABAg,@해다닫,http://www.youtube.com/@%ED%95%B4%EB%8B%A4%EB%8B%AB,맞아요ㅋㅋ,16,2025-07-27T06:33:50Z,2025-07-27T06:33:50Z,0
Ugym1-KzG0m_55-70dp4AaABAg.AL-GbZcEHDLAL4lGJ0PuO2,guYASPE1GiQ,reply,Ugym1-KzG0m_55-70dp4AaABAg,@im_dummy1,http://www.youtube.com/@im_dummy1,저도 봄ㅋㅋ,12,2025-07-27T13:45:05Z,2025-07-27T13:45:05Z,0
Ugym1-KzG0m_55-70dp4AaABAg.AL-GbZcEHDLAL63zY9PWoQ,guYASPE1GiQ,reply,Ugym1-KzG0m_55-70dp4AaABAg,@호땅의tv,http://www.youtube.com/@%ED%98%B8%EB%95%85%EC%9D%98tv,ㄹㅇ ㅋㅋ,6,2025-07-28T01:56:39Z,2025-07-28T01:56:39Z,0
Ugym1-KzG0m_55-70dp4AaABAg.AL-GbZcEHDLAL6D6-cdNrU,guYASPE1GiQ,reply,Ugym1-KzG0m_55-70dp4AaABAg,@문달-r8n,http://www.youtube.com/@%EB%AC%B8%EB%8B%AC-r8n,ㄹㅇ요?ㅋㅋㅋㅋㅋ,6,2025-07-28T03:16:19Z,2025-07-28T03:16:19Z,0
Ugym1-KzG0m_55-70dp4AaABAg.AL-GbZcEHDLAL6IynqqZmF,guYASPE1GiQ,reply,Ugym1-KzG0m_55-70dp4AaABAg,@전승수-q6b,http://www.youtube.com/@%EC%A0%84%EC%8A%B9%EC%88%98-q6b,지금도 제타 하고왔는데 ㄹㅇ입니당,4,2025-07-28T04:07:37Z,2025-07-28T04:07:37Z,0
UgxOsLB4uxM3uUY_pT54AaABAg,guYASPE1GiQ,main_comment,,@와니-v1b,http://www.youtube.com/@%EC%99%80%EB%8B%88-v1b,아진짴ㅋㅋㅋㅋㅋ 최근에 봤던 영상 중에서 가장 많이 웃었던 영상이었습니닼ㅋㅋㅋㅋㅋ<br>&#39;아무리 AI라고 해도 얼마나 쿠빈님이랑 닮았겠냐&#39; 라고 생각을 했는데 말 한마디 한마디가 쿠빈님을 연상시키네욬ㅋㅋㅋㅋㅋ<br>그런 AI랑 대화를 하시면서 욱하시기도 하시고 나락을 감지하시기도 하시고 엄청 폭소를 터트리시는 쿠빈님이 재미있어요 ㅎㅎ,347,2024-08-08T11:43:59Z,2024-08-08T11:43:59Z,0
UgxnVQjP0qBHo3ctlEZ4AaABAg,guYASPE1GiQ,main_comment,,@뒷구녕감별사,http://www.youtube.com/@%EB%92%B7%EA%B5%AC%EB%85%95%EA%B0%90%EB%B3%84%EC%82%AC,거울치료 미쳤네ㅋㅋㅋㅋㅋㅋ,758,2024-08-08T09:15:16Z,2024-08-08T09:15:16Z,3
UgxnVQjP0qBHo3ctlEZ4AaABAg.A6sKmBlg0NpAIhNebJGYDV,guYASPE1GiQ,reply,UgxnVQjP0qBHo3ctlEZ4AaABAg,@정치성향,http://www.youtube.com/@%EC%A0%95%EC%B9%98%EC%84%B1%ED%96%A5,거울 직접보고 치료해야ㅎㅎㅎㅎㅎㅎ,1,2025-05-29T09:25:31Z,2025-05-29T09:25:31Z,0
UgxnVQjP0qBHo3ctlEZ4AaABAg.A6sKmBlg0NpAJFnbwtYnQW,guYASPE1GiQ,reply,UgxnVQjP0qBHo3ctlEZ4AaABAg,@정재웅-b8u,http://www.youtube.com/@%EC%A0%95%EC%9E%AC%EC%9B%85-b8u,@@정치성향 너나 거울 직접보고 치료해라ㅋㅋㅋㅋㅋㅋ,2,2025-06-12T03:34:30Z,2025-06-12T03:34:30Z,0
UgxnVQjP0qBHo3ctlEZ4AaABAg.A6sKmBlg0NpAJIApKJ2teV,guYASPE1GiQ,reply,UgxnVQjP0qBHo3ctlEZ4AaABAg,@정치성향,http://www.youtube.com/@%EC%A0%95%EC%B9%98%EC%84%B1%ED%96%A5,@@정재웅-b8u 너나해ㅎㅎㅎㅎㅎㅎ,0,2025-06-13T01:44:31Z,2025-06-13T01:44:31Z,0
Ugx49nBGr_iyG7c6EuN4AaABAg,guYASPE1GiQ,main_comment,,@pj_chaans0831,http://www.youtube.com/@pj_chaans0831,시청자에겐 한없이 쎈 모습이지만 자기 자신앞에서는 한없이 약해지는 쿠방장님 ㅋㅋㅋㅋㅋㅋㅋㅋ 외강내유 폼 미쳤다,197,2024-08-08T09:46:58Z,2024-08-08T09:47:13Z,0
UgyHGS4tDwgUvSTwsDV4AaABAg,guYASPE1GiQ,main_comment,,@배즙-w7o,http://www.youtube.com/@%EB%B0%B0%EC%A6%99-w7o,본체가 Ai한테 발리는게 ㄹㅇ 꿀잼이네ㅋㅋㅋㅋㅋㅋㅋㅋ,184,2024-08-08T11:38:27Z,2024-08-08T11:38:27Z,0
Ugy6cYJgjDm7gPb_HRN4AaABAg,guYASPE1GiQ,main_comment,,@지안-u8n,http://www.youtube.com/@%EC%A7%80%EC%95%88-u8n,상여자 방장이 발리다니,946,2024-08-08T09:02:36Z,2024-08-08T09:02:36Z,4
